taxon_name_original,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Abarema josephi,BestMatch,9.41180,Exact,0,Abarema josephi,Abarema josephi Barneby & J.W.Grimes,Abarema josephi,8JCN,Punjuba lehmannii Britton & Rose,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Punjuba|Punjuba lehmannii,
Abelia biflora,BestMatch,9.41180,Exact,0,Abelia biflora,Abelia biflora Turcz.,Abelia biflora,8JWM,Zabelia biflora (Turcz.) Makino,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Morinoideae|Zabelia|Zabelia biflora,
Abelia chinensis,BestMatch,9.41215,Exact,0,Abelia chinensis,Abelia chinensis R.Br.,Abelia chinensis,8JWR,Abelia chinensis R.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Linnaeoideae|Abelia|Abelia chinensis,
Abelia longituba,BestMatch,9.41180,Exact,0,Abelia longituba,Abelia longituba Rehder,Abelia longituba,63Z5P,Abelia macrotera var. engleriana (Graebn.) Landrein,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Linnaeoideae|Abelia|Abelia macrotera|Abelia macrotera engleriana,
Abelia mosanensis,BestMatch,9.41180,Exact,0,Abelia mosanensis,Abelia mosanensis T.H.Chung ex Nakai,Abelia mosanensis,8JXK,Zabelia tyaihyoni (Nakai) Hisauti & H.Hara,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Morinoideae|Zabelia|Zabelia tyaihyoni,
Abelia triflora,BestMatch,9.41180,Exact,0,Abelia triflora,Abelia triflora R.Br. ex Wall.,Abelia triflora,8JY3,Zabelia triflora (R.Br. ex Wall.) Makino ex Hisauti & H.Hara,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Morinoideae|Zabelia|Zabelia triflora,
Abelia x grandiflora,BestMatch,9.41145,Exact,0,Abelia x grandiflora,Abelia X grandiflora (Rovelli ex André) Rehder,Abelia × grandiflora,182382,Abelia X grandiflora (Rovelli ex André) Rehder,false,3,ITIS,Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Dipsacales|Linnaeaceae|Abelia|Abelia grandiflora,
Abeliophyllum distichum,BestMatch,9.41215,Exact,0,Abeliophyllum distichum,Abeliophyllum distichum Nakai,Abeliophyllum distichum,8JYL,Abeliophyllum distichum Nakai,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Oleaceae|Forsythieae|Abeliophyllum|Abeliophyllum distichum,
Abelmoschus moschatus,BestMatch,9.41215,Exact,0,Abelmoschus moschatus,Abelmoschus moschatus (L.) Medik.,Abelmoschus moschatus,8K24,Abelmoschus moschatus (L.) Medik.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Hibisceae|Abelmoschus|Abelmoschus moschatus,
Abies concolor,BestMatch,9.41215,Exact,0,Abies concolor,Abies concolor (Gordon) Lindl. ex Hildebr.,Abies concolor,8KBM,Abies concolor (Gordon) Lindl. ex Hildebr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Pinidae|Pinales|Pinaceae|Abies|Abies concolor,
Abies georgei,BestMatch,9.41180,Exact,0,Abies georgei,Abies georgei Orr,Abies georgei,8KCS,Abies forrestii var. georgei (Orr) Farjon,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Pinidae|Pinales|Pinaceae|Abies|Abies forrestii|Abies forrestii georgei,
Abies kawakamii,BestMatch,9.41215,Exact,0,Abies kawakamii,Abies kawakamii (Hayata) Ito,Abies kawakamii,C672S,Abies kawakamii (Hayata) Ito,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Pinidae|Pinales|Pinaceae|Abies|Abies kawakamii,
Abies koreana,BestMatch,9.41215,Exact,0,Abies koreana,Abies koreana E.H.Wilson,Abies koreana,8KDT,Abies koreana E.H.Wilson,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Pinidae|Pinales|Pinaceae|Abies|Abies koreana,
Abies pinsapo,BestMatch,9.41215,Exact,0,Abies pinsapo,Abies pinsapo Boiss.,Abies pinsapo,8KFM,Abies pinsapo Boiss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Pinidae|Pinales|Pinaceae|Abies|Abies pinsapo,
Abies religiosa,BestMatch,9.41215,Exact,0,Abies religiosa,Abies religiosa (Kunth) Schltdl. & Cham.,Abies religiosa,8KFT,Abies religiosa (Kunth) Schltdl. & Cham.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Pinidae|Pinales|Pinaceae|Abies|Abies religiosa,
Abies veitchii,BestMatch,9.41215,Exact,0,Abies veitchii,Abies veitchii Lindl.,Abies veitchii,63Z85,Abies veitchii Lindl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Pinidae|Pinales|Pinaceae|Abies|Abies veitchii,
Abroma augusta,BestMatch,9.41109,Exact,0,Abroma augusta,Abroma augusta (L.) L. f.,Abroma augusta,100280147,,false,165,Tropicos,,
Abroma augustum,BestMatch,9.41215,Exact,0,Abroma augustum,Abroma augustum (L.) L.fil.,Abroma augustum,8M3N,Abroma augustum (L.) L.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Byttnerioideae|Byttnerieae|Abroma|Abroma augustum,
Abutilon darwinii,BestMatch,9.41180,Exact,0,Abutilon darwinii,Abutilon darwinii Hook.fil.,Abutilon darwinii,8MZT,Callianthe darwinii (Hook.fil.) Donnell,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Malveae|Abutilinae|Callianthe|Callianthe darwinii,
Abutilon grandifolium,BestMatch,9.41215,Exact,0,Abutilon grandifolium,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium,8N43,Abutilon grandifolium (Willd.) Sweet,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Malveae|Abutilinae|Abutilon|Abutilon grandifolium,
Abutilon hybr.,BestMatch,9.41215,Exact,0,Abutilon hybr.,Abutilon Tourn. ex Mill.,Abutilon,8ZYJK,Abutilon Tourn. ex Mill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Malveae|Abutilinae|Abutilon,
Abutilon megapotamicum,BestMatch,9.41180,Exact,0,Abutilon megapotamicum,Abutilon megapotamicum (A.Spreng.) A.St.-Hil. & Naudin,Abutilon megapotamicum,8N73,Callianthe megapotamica (A.Spreng.) Dorr,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Malveae|Abutilinae|Callianthe|Callianthe megapotamica,
Acacia neriifolia,BestMatch,9.41215,Exact,0,Acacia neriifolia,Acacia neriifolia A.Cunn. ex Benth.,Acacia neriifolia,8PQC,Acacia neriifolia A.Cunn. ex Benth.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia neriifolia,
Acacia auriculiformis,BestMatch,9.41215,Exact,0,Acacia auriculiformis,Acacia auriculiformis A.Cunn. ex Benth.,Acacia auriculiformis,64C8B,Acacia auriculiformis A.Cunn. ex Benth.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia auriculiformis,
Acacia boormanii,BestMatch,9.41215,Exact,0,Acacia boormanii,Acacia boormanii Maiden,Acacia boormanii,8NW4,Acacia boormanii Maiden,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia boormanii,
Acacia cornigera,BestMatch,9.41180,Exact,0,Acacia cornigera,Acacia cornigera (L.) Willd.,Acacia cornigera,8P2V,Vachellia cornigera (L.) Seigler & Ebinger,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vachellia|Vachellia cornigera,
Acacia cultriformis,BestMatch,9.41215,Exact,0,Acacia cultriformis,Acacia cultriformis A.Cunn. ex G.Don,Acacia cultriformis,8P3N,Acacia cultriformis A.Cunn. ex G.Don,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia cultriformis,
Acacia dealbata,BestMatch,9.41215,Exact,0,Acacia dealbata,Acacia dealbata Link,Acacia dealbata,8P4G,Acacia dealbata Link,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia dealbata,
Acacia erioloba,BestMatch,9.41180,Exact,0,Acacia erioloba,Acacia erioloba E.Mey.,Acacia erioloba,8P7X,Vachellia erioloba (E.Mey.) P.J.H.Hurter,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vachellia|Vachellia erioloba,
Acacia grandicornuta,BestMatch,9.41180,Exact,0,Acacia grandicornuta,Acacia grandicornuta Gerstner,Acacia grandicornuta,8PBN,Vachellia grandicornuta (Gerstner) Seigler & Ebinger,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vachellia|Vachellia grandicornuta,
Acacia haematoxylon,BestMatch,9.41180,Exact,0,Acacia haematoxylon,Acacia haematoxylon Willd.,Acacia haematoxylon,8PCH,Vachellia haematoxylon (Willd.) Seigler & Ebinger,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vachellia|Vachellia haematoxylon,
Acacia heterophylla,BestMatch,9.41215,Exact,0,Acacia heterophylla,Acacia heterophylla (Lam.) Willd.,Acacia heterophylla,64BZQ,Acacia heterophylla (Lam.) Willd.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia heterophylla,
Acacia karroo,BestMatch,9.41180,Exact,0,Acacia karroo,Acacia karroo Hayne,Acacia karroo,8PGC,Vachellia karroo (Hayne) Banfi & Galasso,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vachellia|Vachellia karroo,
Acacia mearnsii,BestMatch,9.41215,Exact,0,Acacia mearnsii,Acacia mearnsii De Wild.,Acacia mearnsii,8PMQ,Acacia mearnsii De Wild.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia mearnsii,
Acacia montis-usti,BestMatch,9.41109,Exact,0,Acacia montis-usti,Acacia montis-usti Merxm. and A.Schreib.,Acacia montis-usti,30339,Acacia montis-usti Merxm. and A.Schreib.,false,163,IUCN Red List of Threatened Species,,
Acacia nanodealbata,BestMatch,9.41215,Exact,0,Acacia nanodealbata,Acacia nanodealbata J.H.Willis,Acacia nanodealbata,8PQ2,Acacia nanodealbata J.H.Willis,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia nanodealbata,
Acacia paradoxa,BestMatch,9.41215,Exact,0,Acacia paradoxa,Acacia paradoxa DC.,Acacia paradoxa,8PSR,Acacia paradoxa DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia paradoxa,
Acacia pravissima,BestMatch,9.41215,Exact,0,Acacia pravissima,Acacia pravissima F.Muell.,Acacia pravissima,8PVF,Acacia pravissima F.Muell.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia pravissima,
Acacia pycnantha,BestMatch,9.41215,Exact,0,Acacia pycnantha,Acacia pycnantha Benth.,Acacia pycnantha,8PWT,Acacia pycnantha Benth.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia pycnantha,
Acacia retinodes,BestMatch,9.41215,Exact,0,Acacia retinodes,Acacia retinodes Schltdl.,Acacia retinodes,8PXT,Acacia retinodes Schltdl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia retinodes,
Acacia riceana,BestMatch,9.41215,Exact,0,Acacia riceana,Acacia riceana Hensl.,Acacia riceana,8PY4,Acacia riceana Hensl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia riceana,
Acacia sp.,BestMatch,8.63917,Exact,0,Acacia sp.,sect. Acacia,sect. Acacia,KZR2D,sect. Acacia,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.,
Acacia suaveolens,BestMatch,9.41215,Exact,0,Acacia suaveolens,Acacia suaveolens (Sm.) Willd.,Acacia suaveolens,8Q4Q,Acacia suaveolens (Sm.) Willd.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia suaveolens,
Acacia swazica,BestMatch,9.41180,Exact,0,Acacia swazica,Acacia swazica Burtt Davy,Acacia swazica,64BQQ,Vachellia swazica (Burtt Davy) Kyal. & Boatwr.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vachellia|Vachellia swazica,
Acacia verticillata,BestMatch,9.41215,Exact,0,Acacia verticillata,Acacia verticillata (L'Her.) Willd.,Acacia verticillata,8Q8Z,Acacia verticillata (L'Her.) Willd.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|sect.|Acacia verticillata,
Acaena buchananii,BestMatch,9.41215,Exact,0,Acaena buchananii,Acaena buchananii Hook.fil.,Acaena buchananii,8QDJ,Acaena buchananii Hook.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Agrimonieae|Sanguisorbinae|Acaena|Acaena buchananii,
Acaena inermis,BestMatch,9.41215,Exact,0,Acaena inermis,Acaena inermis Hook.fil.,Acaena inermis,8QF7,Acaena inermis Hook.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Agrimonieae|Sanguisorbinae|Acaena|Acaena inermis,
Acaena microphylla,BestMatch,9.41215,Exact,0,Acaena microphylla,Acaena microphylla Hook.fil.,Acaena microphylla,8QG3,Acaena microphylla Hook.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Agrimonieae|Sanguisorbinae|Acaena|Acaena microphylla,
Acaena novae-zelandiae,BestMatch,9.41215,Exact,0,Acaena novae-zelandiae,Acaena novae-zelandiae Kirk,Acaena novae-zelandiae,8QGD,Acaena novae-zelandiae Kirk,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Agrimonieae|Sanguisorbinae|Acaena|Acaena novae-zelandiae,
Acalypha sp.,BestMatch,8.63917,Exact,0,Acalypha sp.,Acalypha L.,Acalypha,8VT5Y,Acalypha L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Acalyphoideae|Acalypheae|Acalyphinae|Acalypha,
Acanthephippium mantinianum,BestMatch,9.41109,Exact,0,Acanthephippium mantinianum,Acanthephippium mantinianum,Acanthephippium mantinianum,2f3fdde9-53c8-5174-8a99-581144b2d63f,,true,2,Wikispecies,Acanthophippium|Acanthophippium mantinianum,
Acanthephippium sp.,BestMatch,8.63497,Exact,0,Acanthephippium sp.,"Acanthephippium C.L. von Blume ex S.F.L. Endlicher, 1837",Acanthephippium,urn:lsid:irmng.org:taxname:1011166,"Acanthephippium C.L. von Blume ex S.F.L. Endlicher, 1837",false,181,IRMNG,Biota|Plantae|Tracheophyta|Spermatophytina|Angiospermae|Magnoliopsida|Asparagales|Orchidaceae|Acanthephippium,
Acanthephippium striatum,BestMatch,9.41109,Exact,0,Acanthephippium striatum,Acanthephippium striatum Lindl.,Acanthephippium striatum,50178638,,false,165,Tropicos,,
Acanthephippium sylhetense,BestMatch,9.41109,Exact,0,Acanthephippium sylhetense,Acanthephippium sylhetense Lindl.,Acanthephippium sylhetense,50239011,,false,165,Tropicos,,
Acantholimon armenum,BestMatch,9.41215,Exact,0,Acantholimon armenum,Acantholimon armenum Boiss. & A.Huet,Acantholimon armenum,8XXN,Acantholimon armenum Boiss. & A.Huet,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Plumbaginaceae|Limonieae|Acantholimon|Acantholimon armenum,
Acantholimon caryophyllaceum,BestMatch,9.41215,Exact,0,Acantholimon caryophyllaceum,Acantholimon caryophyllaceum Boiss.,Acantholimon caryophyllaceum,8XYS,Acantholimon caryophyllaceum Boiss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Plumbaginaceae|Limonieae|Acantholimon|Acantholimon caryophyllaceum,
Acantholimon glumaceum,BestMatch,9.41215,Exact,0,Acantholimon glumaceum,Acantholimon glumaceum (Jaub. & Spach) Boiss.,Acantholimon glumaceum,8Y2K,Acantholimon glumaceum (Jaub. & Spach) Boiss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Plumbaginaceae|Limonieae|Acantholimon|Acantholimon glumaceum,
Acantholimon kotschyi,BestMatch,9.41215,Exact,0,Acantholimon kotschyi,Acantholimon kotschyi (Jaub. & Spach) Boiss.,Acantholimon kotschyi,8Y4C,Acantholimon kotschyi (Jaub. & Spach) Boiss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Plumbaginaceae|Limonieae|Acantholimon|Acantholimon kotschyi,
Acantholimon ulicinum,BestMatch,9.41215,Exact,0,Acantholimon ulicinum,Acantholimon ulicinum (Willd. ex Schult.) Boiss.,Acantholimon ulicinum,8Y9G,Acantholimon ulicinum (Willd. ex Schult.) Boiss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Plumbaginaceae|Limonieae|Acantholimon|Acantholimon ulicinum,
Acanthopanax divaricatus,BestMatch,9.41180,Exact,0,Acanthopanax divaricatus,Acanthopanax divaricatus (Siebold & Zucc.) Seem.,Acanthopanax divaricatus,8YX9,Eleutherococcus divaricatus (Siebold & Zucc.) S.Y.Hu,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Eleutherococcus|Eleutherococcus divaricatus,
Acanthopanax gracilistylus,BestMatch,9.41180,Exact,0,Acanthopanax gracilistylus,Acanthopanax gracilistylus W.W.Sm.,Acanthopanax gracilistylus,8YXH,Eleutherococcus nodiflorus (Dunn) S.Y.Hu,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Eleutherococcus|Eleutherococcus nodiflorus,
Acanthopanax henryi,BestMatch,9.41180,Exact,0,Acanthopanax henryi,Acanthopanax henryi (Oliv.) Harms,Acanthopanax henryi,8YXJ,Eleutherococcus henryi Oliv.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Eleutherococcus|Eleutherococcus henryi,
Acanthopanax lasiogyne,BestMatch,9.41180,Exact,0,Acanthopanax lasiogyne,Acanthopanax lasiogyne Harms,Acanthopanax lasiogyne,8YXT,Eleutherococcus lasiogyne (Harms) S.Y.Hu,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Eleutherococcus|Eleutherococcus lasiogyne,
Acanthopanax nikaianus,BestMatch,9.41180,Exact,0,Acanthopanax nikaianus,Acanthopanax nikaianus Koidz. ex Nakai,Acanthopanax nikaianus,8YXY,Eleutherococcus nikaianus (Koidz. ex Nakai) H.Ohashi,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Eleutherococcus|Eleutherococcus nikaianus,
Acanthopanax senticosus,BestMatch,9.41180,Exact,0,Acanthopanax senticosus,Acanthopanax senticosus (Rupr. & Maxim.) Harms,Acanthopanax senticosus,8YYD,Eleutherococcus senticosus (Rupr. & Maxim.) Maxim.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Eleutherococcus|Eleutherococcus senticosus,
Acanthopanax sessiliflorus,BestMatch,9.41180,Exact,0,Acanthopanax sessiliflorus,Acanthopanax sessiliflorus (Rupr. & Maxim.) Seem.,Acanthopanax sessiliflorus,8YYH,Eleutherococcus sessiliflorus (Rupr. & Maxim.) S.Y.Hu,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Eleutherococcus|Eleutherococcus sessiliflorus,
Acanthopanax sieboldianus,BestMatch,9.41180,Exact,0,Acanthopanax sieboldianus,Acanthopanax sieboldianus Makino,Acanthopanax sieboldianus,8YYM,Eleutherococcus sieboldianus (Makino) Koidz.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Eleutherococcus|Eleutherococcus sieboldianus,
Acanthopanax simoni,BestMatch,9.41109,Exact,0,Acanthopanax simoni,Acanthopanax simoni Simon-Louis ex C.K.Schneid.,Acanthopanax simoni,bare-name-89491-1,,false,167,IPNI,,
Acanthopanax sp.,BestMatch,8.63708,Exact,0,Acanthopanax sp.,Acanthopanax (Decne. & Planch.) Miq.,Acanthopanax,CQ2RY,Eleutherococcus Maxim.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Eleutherococcus,
Acanthopanax trifoliatus,BestMatch,9.41180,Exact,0,Acanthopanax trifoliatus,Acanthopanax trifoliatus (L.) Voss,Acanthopanax trifoliatus,8YYW,Eleutherococcus trifoliatus (L.) S.Y.Hu,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Araliaceae|Eleutherococcus|Eleutherococcus trifoliatus,
Acanthophoenix rousselii,BestMatch,9.41215,Exact,0,Acanthophoenix rousselii,Acanthophoenix rousselii N.Ludw.,Acanthophoenix rousselii,8Z59,Acanthophoenix rousselii N.Ludw.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Arecales|Arecaceae|Acanthophoenix|Acanthophoenix rousselii,
Acanthostachys pittcarnioides,BestMatch,8.63917,PartialExact,0,Acanthostachys pittcarnioides,"Acanthostachys Link, Klotzsch & Otto",Acanthostachys,8VT6L,"Acanthostachys Link, Klotzsch & Otto",false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Acanthostachys,
Acanthostachys strobilacea,BestMatch,9.41215,Exact,0,Acanthostachys strobilacea,Acanthostachys strobilacea (Schult. & Schult.f.) Klotzsch,Acanthostachys strobilacea,64FZW,Acanthostachys strobilacea (Schult. & Schult.f.) Klotzsch,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Acanthostachys|Acanthostachys strobilacea,
Acanthus balcanicus,BestMatch,9.41180,Exact,0,Acanthus balcanicus,Acanthus balcanicus Heywood & I.Richardson,Acanthus balcanicus,92RV,Acanthus hungaricus (Borbás) Baen.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Acantheae|Acanthinae|Acanthus|Acanthus hungaricus,
Acanthus hungaricus,BestMatch,9.41215,Exact,0,Acanthus hungaricus,Acanthus hungaricus (Borbás) Baen.,Acanthus hungaricus,92SR,Acanthus hungaricus (Borbás) Baen.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Acantheae|Acanthinae|Acanthus|Acanthus hungaricus,
Acanthus mollis,BestMatch,9.41215,Exact,0,Acanthus mollis,Acanthus mollis L.,Acanthus mollis,92T9,Acanthus mollis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Acantheae|Acanthinae|Acanthus|Acanthus mollis,
Acca sellowiana,BestMatch,9.41180,Exact,0,Acca sellowiana,Acca sellowiana (O.Berg) Burret,Acca sellowiana,93RJ,Feijoa sellowiana (O.Berg) O.Berg,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Myrtoideae|Myrteae|Pimentinae|Feijoa|Feijoa sellowiana,
Acer albopurpurascens,BestMatch,9.41180,Exact,0,Acer albopurpurascens,Acer albopurpurascens Hayata,Acer albopurpurascens,945V,Acer oblongum Wall. ex DC.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer oblongum,
Acer campbellii,BestMatch,9.41215,Exact,0,Acer campbellii,Acer campbellii Hook.fil. & Thomson ex Hiern,Acer campbellii,9XFBY,Acer campbellii Hook.fil. & Thomson ex Hiern,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer campbellii,
